headphoneName,batteryLabel,batteryScore,comfortLabel,comfortScore,noisecancellationLabel,noisecancellationScore,soundqualityLabel,soundqualityScore,region,ratingScore,priceValue,priceCurrency,listPriceValue,listPriceCurrency
sony xm4 earbuds,Negative,0.8940163254737854,Negative,0.8868141174316406,,0.0,,0.0,US,1.0,164.97,USD,,USD
sony xm4 earbuds,Positive,0.9085103869438172,Positive,0.916272759437561,,0.0,Positive,0.9089088439941406,US,1.0,164.97,USD,,USD
sony xm4 earbuds,Negative,0.4990792572498321,,0.0,Negative,0.5173015594482422,,0.0,US,1.0,164.97,USD,,USD
sony xm4 earbuds,Negative,0.8674829006195068,,0.0,Negative,0.8436087965965271,,0.0,US,1.0,164.97,USD,,USD
sony xm4 earbuds,Negative,0.8852866291999817,,0.0,Negative,0.8320052623748779,Negative,0.8466451168060303,US,1.0,164.97,USD,,USD
sony xm4 earbuds,Negative,0.8793204426765442,Negative,0.8882436156272888,Negative,0.8567655086517334,Negative,0.8007752299308777,US,1.0,164.97,USD,,USD
sony xm4 earbuds,,0.0,,0.0,,0.0,,0.0,US,1.0,164.97,USD,,USD
sony xm4 earbuds,Negative,0.862591564655304,,0.0,,0.0,Negative,0.9513512253761292,US,1.0,164.97,USD,,USD
sony xm4 earbuds,Negative,0.836177408695221,,0.0,,0.0,,0.0,US,1.0,164.97,USD,,USD
sony xm4 earbuds,,0.0,,0.0,,0.0,,0.0,US,1.0,164.97,USD,,USD
sony xm4 earbuds,Positive,0.9586883187294006,Positive,0.9598317742347716,Positive,0.9573481678962708,,0.0,US,5.0,164.97,USD,,USD
sony xm4 earbuds,Positive,0.7998590469360352,Positive,0.8304810523986816,Positive,0.8061336278915405,Positive,0.8427923321723938,US,5.0,164.97,USD,,USD
sony xm4 earbuds,Negative,0.7146384119987488,Negative,0.7208927273750305,Negative,0.719070315361023,Negative,0.717292845249176,US,5.0,164.97,USD,,USD
sony xm4 earbuds,Negative,0.7453686594963074,,0.0,,0.0,,0.0,US,5.0,164.97,USD,,USD
sony xm4 earbuds,,0.0,Negative,0.5989542007446289,Negative,0.64501953125,Negative,0.6282265186309814,US,5.0,164.97,USD,,USD
sony xm4 earbuds,Positive,0.982470452785492,Positive,0.9840624928474426,Positive,0.9827462434768676,,0.0,US,5.0,164.97,USD,,USD
sony xm4 earbuds,Positive,0.9292073249816896,Positive,0.9340617656707764,Positive,0.9242068529129028,Positive,0.93228280544281,US,5.0,164.97,USD,,USD
sony xm4 earbuds,Positive,0.5169922113418579,Positive,0.5035327672958374,Positive,0.6183406710624695,,0.0,US,5.0,164.97,USD,,USD
sony xm4 earbuds,Positive,0.7267861366271973,Positive,0.7446988821029663,,0.0,Positive,0.7262177467346191,US,5.0,164.97,USD,,USD
sony xm4 earbuds,Positive,0.9678556323051452,Positive,0.966108500957489,Positive,0.9643272757530212,Positive,0.9654733538627625,US,5.0,164.97,USD,,USD
sony xm4 earbuds,Negative,0.717267632484436,,0.0,,0.0,,0.0,US,3.0,164.97,USD,,USD
sony xm4 earbuds,,0.0,Negative,0.6503867506980896,Negative,0.6740232706069946,Negative,0.6517344117164612,US,3.0,164.97,USD,,USD
sony xm4 earbuds,,0.0,Negative,0.5005325675010681,,0.0,Negative,0.521202564239502,US,3.0,164.97,USD,,USD
sony xm4 earbuds,Negative,0.7848522663116455,,0.0,Negative,0.7584462761878967,Negative,0.7544476389884949,US,3.0,164.97,USD,,USD
