headphoneName,batteryLabel,batteryScore,comfortLabel,comfortScore,noisecancellationLabel,noisecancellationScore,soundqualityLabel,soundqualityScore
sony xm4 earbuds,Negative,0.6320940256118774,Negative,0.5779643058776855,NA,0.0,Negative,0.5769054293632507
sony xm4 earbuds,Negative,0.9806684851646423,NA,0.0,NA,0.0,Positive,0.9836151003837585
sony xm4 earbuds,NA,0.0,NA,0.0,Positive,0.937881350517273,NA,0.0
sony xm4 earbuds,Negative,0.9847457408905029,Negative,0.9878838658332825,Positive,0.8553752899169922,Positive,0.6230847835540771
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,Negative,0.9564865231513977
sony xm4 earbuds,Negative,0.9745112061500549,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,Negative,0.7996402978897095,Negative,0.8837603330612183
sony xm4 earbuds,Positive,0.7925449013710022,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,Positive,0.9458757638931274,Positive,0.9635937809944153,Positive,0.9614480137825012,NA,0.0
sony xm4 earbuds,NA,0.0,Negative,0.5389149188995361,Negative,0.540537416934967,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,Positive,0.8788743019104004
sony xm4 earbuds,NA,0.0,Negative,0.6425199508666992,NA,0.0,Negative,0.6655251979827881
sony xm4 earbuds,Positive,0.5200119018554688,Negative,0.5977173447608948,Positive,0.8081841468811035,Positive,0.7556228637695312
sony xm4 earbuds,Positive,0.7065337300300598,Positive,0.7721641063690186,NA,0.0,Positive,0.759148120880127
sony xm4 earbuds,NA,0.0,NA,0.0,Positive,0.6687942743301392,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,Positive,0.9300793409347534,NA,0.0,Positive,0.8422238826751709,NA,0.0
sony xm4 earbuds,Positive,0.9424957633018494,NA,0.0,Positive,0.9725092649459839,Positive,0.9570733308792114
sony xm4 earbuds,Negative,0.7732821702957153,Negative,0.722537100315094,NA,0.0,NA,0.0
sony xm4 earbuds,Negative,0.9895766973495483,NA,0.0,Positive,0.9780333638191223,Positive,0.9761200547218323
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
