primary_key,region,ratingScore,priceValue,priceCurrency,listPriceValue,listPriceCurrency,headphoneName,batteryLabel,batteryScore,comfortLabel,comfortScore,noisecancellationLabel,noisecancellationScore,soundqualityLabel,soundqualityScore
1,US,1.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.8940163254737854,Negative,0.8868141174316406,,0.0,,0.0
2,US,1.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.9085103869438172,Positive,0.916272759437561,,0.0,Positive,0.9089088439941406
3,US,1.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.4990792572498321,,0.0,Negative,0.5173015594482422,,0.0
4,US,1.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.8674829006195068,,0.0,Negative,0.8436087965965271,,0.0
5,US,1.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.8852866291999817,,0.0,Negative,0.8320052623748779,Negative,0.8466451168060303
6,US,1.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.8793204426765442,Negative,0.8882436156272888,Negative,0.8567655086517334,Negative,0.8007752299308777
7,US,1.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,,0.0,,0.0,,0.0
8,US,1.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.862591564655304,,0.0,,0.0,Negative,0.9513512253761292
9,US,1.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.836177408695221,,0.0,,0.0,,0.0
10,US,1.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,,0.0,,0.0,,0.0
11,US,5.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.9586883187294006,Positive,0.9598317742347716,Positive,0.9573481678962708,,0.0
12,US,5.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.7998590469360352,Positive,0.8304810523986816,Positive,0.8061336278915405,Positive,0.8427923321723938
13,US,5.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.7146384119987488,Negative,0.7208927273750305,Negative,0.719070315361023,Negative,0.717292845249176
14,US,5.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.7453686594963074,,0.0,,0.0,,0.0
15,US,5.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,Negative,0.5989542007446289,Negative,0.64501953125,Negative,0.6282265186309814
16,US,5.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.982470452785492,Positive,0.9840624928474426,Positive,0.9827462434768676,,0.0
17,US,5.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.9292073249816896,Positive,0.9340617656707764,Positive,0.9242068529129028,Positive,0.93228280544281
18,US,5.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.5169922113418579,Positive,0.5035327672958374,Positive,0.6183406710624695,,0.0
19,US,5.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.7267861366271973,Positive,0.7446988821029663,,0.0,Positive,0.7262177467346191
20,US,5.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.9678556323051452,Positive,0.966108500957489,Positive,0.9643272757530212,Positive,0.9654733538627625
21,US,3.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.717267632484436,,0.0,,0.0,,0.0
22,US,3.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,Negative,0.6503867506980896,Negative,0.6740232706069946,Negative,0.6517344117164612
23,US,3.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,Negative,0.5005325675010681,,0.0,Negative,0.521202564239502
24,US,3.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.7848522663116455,,0.0,Negative,0.7584462761878967,Negative,0.7544476389884949
25,US,3.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.978809416294098,,0.0,,0.0,,0.0
26,US,3.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.5594323873519897,Negative,0.5230860710144043,Negative,0.6181720495223999,Negative,0.5646589994430542
27,US,3.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,,0.0,Negative,0.5958176255226135,Positive,0.7265885472297668
28,US,3.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.7338886857032776,Negative,0.5866468548774719,Positive,0.588357150554657,Positive,0.7575812935829163
29,US,3.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,,0.0,,0.0,,0.0
30,US,3.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,,0.0,,0.0,,0.0
31,US,4.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.5401845574378967,Positive,0.5471534729003906,,0.0,Positive,0.6069153547286987
32,US,4.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.6530054807662964,Positive,0.669719398021698,Positive,0.6477950811386108,Positive,0.6554250717163086
